Author,English,Czech,Source,Notes
Han F,"What a fantastic place — upbeat but lovely and chill, service is speedy, and every staff member is golden. One of the most gorgeous bars I've visited across many EU cities. Thank you especially to Petre and Sofia!","Skvělé místo — energické, ale zároveň příjemné a uvolněné, obsluha bleskurychlá a každý člen personálu je zlatý. Jeden z nejkrásnějších barů, jaké jsem navštívila, a to jsem byla v mnoha evropských městech. Díky patří hlavně Petremu a Sofii!",Google Maps (5-star review),
Giorgio Mottura,"We were wandering Prague looking for a hot drink when we found this little lounge. We loved the décor and the kindness of the barman, Arthur, who made an incredible effort to accommodate our request. He clearly cares about making guests feel welcome.","Bloudili jsme Prahou a hledali teplý nápoj, když jsme narazili na tento útulný lounge. Zamilovali jsme si interiér i laskavost barmana Arthura, který se nesmírně snažil vyhovět našemu přání. Je vidět, že mu záleží na tom, aby se hosté cítili vítáni.",Google Maps (5-star review),
Jarred,"An amazing experience on my first day in this country. Friendly, immaculate service, perfect lighting, and great drinks. A great spot for date-night cocktails.","Úžasný zážitek hned první den v této zemi. Přátelská a bezchybná obsluha, perfektní osvětlení a skvělé drinky. Skvělé místo na rande u koktejlů.",Google Maps (5-star review),
Sergey Dosov,"I found this cocktail bar by chance, and it turned out to be one of the best nights I've had in a long time. From the moment I walked in, I felt truly welcome — the staff were friendly, attentive, and made me feel like a VIP all evening. Exactly the kind of place I'd love to celebrate a birthday.","Na tento cocktail bar jsem narazil náhodou a byl to jeden z nejlepších večerů za dlouhou dobu. Od prvního okamžiku jsem se cítil vítán — personál byl přátelský, pozorný a celý večer jsem se cítil jako VIP. Přesně místo, kde bych si chtěl oslavit narozeniny.",Google Maps (5-star review),
Paul Walker,"Excellent cocktails in a great setting. If you want a wild ride, go for the Ferrari — strong, and it'll make you feel like you're on the Indy circuit. Non-alcoholic options and espresso drinks too. Add it to your Prague shortlist!","Výborné koktejly ve skvělém prostředí. Pokud chcete divokou jízdu, dejte si Ferrari — silné, budete se cítit jako na okruhu Indy 500. Mají i nealko varianty a espresso drinky. Zařaďte si tenhle podnik do svého pražského seznamu!",Google Maps (5-star review),
Connor Grunshaw,"Amazing cocktail bar. Very, very chilled vibe. Barman 10/10, drinks 10/10. Would 100% recommend — 2nd time in 2 days!","Úžasný cocktail bar. Naprosto pohodová atmosféra. Barman 10/10, drinky 10/10. Stoprocentně doporučuji — byl jsem tu podruhé během dvou dnů!",Google Maps (5-star review),
ada han,"First time in Prague and my partner and I decided to visit this bar — it was awesome. The waiter was super nice and friendly, I haven't felt this homey in a bar ever. I'll definitely visit again next time I'm in Prague.","Poprvé v Praze jsme se s partnerem rozhodli zajít do tohoto baru — bylo to skvělé. Číšník byl moc milý a přátelský, tak domácky jsem se v baru ještě nikdy necítila. Určitě sem zajdu zas, až budu příště v Praze.",Google Maps (5-star review),
Dimasik Esenov,"Oh my god, this is the best bar I've ever been to. Such a great atmosphere, great service, and the people here are so easy to talk to — especially the bartender, Arthur. He's so cool. A legend.","Panebože, tohle je nejlepší bar, ve kterém jsem kdy byl. Skvělá atmosféra, skvělá obsluha a s lidmi se tu skvěle povídá — zvlášť s barmanem Arthurem. Je super. Legenda.",Google Maps (5-star review),
Jas,"It was an amazing experience — my first time visiting since I'm not from Prague, but they were so nice and welcoming. I really enjoyed it and the drinks were great!","Byl to úžasný zážitek — moje první návštěva, protože nejsem z Prahy, ale byli na mě moc milí a vstřícní. Moc se mi tu líbilo a drinky byly skvělé!",Google Maps (5-star review),
Julia,"Great place! Delicious drinks, friendly service, and great decor that's perfect for conversation. There's also a wide selection of games on hand to while away the time. Definitely recommend it!","Skvělé místo! Vynikající drinky, příjemná obsluha a skvělý interiér ideální na povídání. K dispozici je i široký výběr her na zabavení. Rozhodně doporučuji!",Google Maps (5-star review),
