Key,English,Czech,Notes (do not edit)
hero.partnerLogoPlaceholder,[ Partner logo ],[ Logo partnera ],
hero.venueLogoPlaceholder,[ Lost & Found logo ],[ Logo Lost & Found ],
hero.subtitle,Venue For Your Perfect Event,Prostor pro vaši dokonalou akci,
hero.tagline,"A neon‑lit craft‑cocktail bar just off Karlovo Náměstí (4.9★, 1,090+ reviews) — signature drinks, warm energy, and a relaxed, easy‑going atmosphere. Lost & Found is where nights feel natural and unpretentious.","Neonový craft cocktail bar kousek od Karlova náměstí (4,9★, 1 090+ recenzí) — signature drinky, vřelá energie a uvolněná, nenucená atmosféra. Lost & Found je místo, kde se noci prožívají přirozeně a bez přetvářky.",
eventDetails.heading,Event Details,Informace o akci,
eventDetails.date,Date,Datum,
eventDetails.guests,Guests,Počet hostů,
eventDetails.format,Format,Formát,
eventDetails.formatValue,Corporate New Year Party,Firemní novoroční večírek,
eventDetails.details,Additional details,Další detaily,
eventDetails.detailsValue,"Full venue buyout,","Pronájem celého prostoru,",
eventDetails.note,These details are based on your initial enquiry — let us know if anything's changed.,"Tyto údaje vycházejí z vaší úvodní poptávky — dejte nám vědět, pokud se něco změnilo.",
atmosphere.eyebrow,The atmosphere,Atmosféra,
atmosphere.heading,Feel the Room,Pocit z prostoru,
atmosphere.copy,"Neon-lit, no-pretense, and rated 4.9★ by over 1,090 guests — this is the room your event will happen in.","Neonové osvětlení, žádná přetvářka a hodnocení 4,9★ od více než 1 090 hostů — přesně v tomto prostoru se bude odehrávat vaše akce.",
atmosphere.space1.name,Entrance & Bar Counter,Vstup a barový pult,
atmosphere.space1.desc,"7 dynamic seats with a front‑row view of the bar, ideal for solo visitors.","7 dynamických míst s výhledem na bar v první řadě, ideální pro jednotlivé návštěvníky.",
atmosphere.space2.name,Main Floor,Hlavní sál,
atmosphere.space2.desc,"Adaptable space for up to 25 guests, featuring mobile tables for any layout.",Flexibilní prostor až pro 25 hostů s mobilními stoly pro libovolné uspořádání.,
atmosphere.space3.name,Basement Lounge,Suterénní lounge,
atmosphere.space3.desc,"Spacious area for up to 50 guests, easily zoned with curtains for private groups.","Prostorná plocha až pro 50 hostů, snadno oddělitelná závěsy pro soukromé skupiny.",
atmosphere.photo1,[ Photo: bar / neon interior ],[ Foto: bar / neonový interiér ],
atmosphere.photo2,[ Photo: lounge seating ],[ Foto: sezení v lounge ],
atmosphere.photo3,[ Photo: crowd / late-night party ],[ Foto: dav / noční párty ],
atmosphere.photo4,[ Photo: signature cocktails ],[ Foto: signature koktejly ],
packages.heading,Catering Packages,Cateringové balíčky,
packages.guestsLabel,Number of guests,Počet hostů,
packages.guestsWord,guests,hostů,
packages.sliderNote,Guest count and pricing update live as you move the slider.,Počet hostů a cena se aktualizují živě podle posuvníku.,
packages.legend,Choose a catering package,Vyberte cateringový balíček,
packages.perPerson,/ person,/ osoba,
packages.detailsLink,Details,Podrobnosti,
packages.selectedCostLabel,Selected package cost:,Cena vybraného balíčku:,
packages.selectedCostNote,(Guests × price per person),(počet hostů × cena za osobu),
compare.heading,Compare Packages,Porovnání balíčků,
compare.category,Category,Kategorie,
compare.dishCategories,Dish categories,Kategorie pokrmů,
compare.itemCount,Number of items,Počet položek,
compare.alcoholBrands,Alcohol brands,Alkoholové značky,
compare.portions,Portions,Porce,
compare.pricePerPerson,Price / person,Cena / osoba,
compare.totalCost,Total cost,Celková cena,
details.heading,Package Details,Detaily balíčků,
details.fullBreakdown,full breakdown,kompletní přehled,
details.drinks,Drinks,Nápoje,
details.starters,Starters,Předkrmy,
details.mains,Mains,Hlavní chody,
details.desserts,Desserts,Dezerty,
details.alcoholSplit,Alcohol / non-alcohol,Alkoholické / nealkoholické,
details.portionsPerGuest,Portions per guest,Porce na hosta,
details.photoPlaceholder,[ Dish photos placeholder ],[ Zástupné fotky pokrmů ],
addons.heading,Additional Services,Doplňkové služby,
addons.legend,Choose additional services,Vyberte doplňkové služby,
addons.moreInfo,More info,Více informací,
